id,symbol,timeframe,pattern_type,entry_price,sl_price,tp2_price,current_sl,status,direction,created_at,updated_at,telegram_message_id,tp1_price,tp3_price,initial_sl,position_size,partial_closed,be_activated,trailing_activated,exit_type,pnl_r,pnl_percent,atr_15m,atr_h4,dist_to_dir_h1_zone_atr,dist_to_dir_h4_zone_atr,free_path_r,arrival_pattern,mfe_r,mae_r,time_to_tp1_min,time_to_tp2_min,time_to_tp3_min,time_to_sl_min,time_to_be_min,first_touch,clearance_15m,clearance_1h,r_available,zone_test_count_24h,veto_reason,sl_buffer_atr15,pattern_score,pattern_score_factors,swing_extreme_price,sl_buffer_atr,round_number_adjusted,min_distance_from_zone,tp1_limited_by_zone,tp2_limited_by_zone,tp3_limited_by_zone,nearest_resistance_distance_r,actual_rr_tp1,actual_rr_tp2,actual_rr_tp3,dynamic_min_rr,dynamic_min_rr_adjustments,dynamic_min_rr_reasoning,trend_alignment,multi_tf_alignment,atr_volatility,rr_validation_passed,rr_validation_message,confluence_score,confluence_details,partial_close_p1,partial_close_p2,partial_close_p3,strategy_profile
30,STXUSDT,15m,fakey_sell,0.40590000,0.40952346,0.39865308,0.40952346,SL_HIT,SHORT,2025-10-31 10:00:19.100862,2025-10-31 11:49:00.528,,0.39865308,0.39865308,0.40952346,100.00,100.00,f,f,SL_HIT,-1.0000,-0.8927,0.00307820,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
34,WLFIUSDT,15m,fakey_sell,0.13580000,0.13697432,0.13345136,0.13697432,SL_HIT,SHORT,2025-10-31 11:15:12.217402,2025-10-31 11:54:02.459,,0.13345136,0.13345136,0.13697432,100.00,100.00,f,f,SL_HIT,-1.0000,-0.8647,0.00091440,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
26,FLMUSDT,15m,pinbar_buy,0.02630000,0.02480987,0.02928027,0.02480987,SL_HIT,LONG,2025-10-31 06:30:17.190143,2025-10-31 12:09:00.567,,0.02928027,0.02928027,0.02480987,100.00,100.00,f,f,SL_HIT,-1.0000,-5.6659,0.00096711,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
44,MUSDT,15m,pinbar_buy,2.51250000,2.48342068,2.57065864,2.48342068,SL_HIT,LONG,2025-10-31 16:30:11.050391,2025-10-31 18:31:03.801,2107,2.57065864,2.57065864,2.48342068,100.00,100.00,f,f,SL_HIT,-1.0000,-1.1574,0.02893107,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
134,TURBOUSDT,15m,pinbar_sell,0.00203970,0.00206569,0.00198772,0.00206569,SL_HIT,SHORT,2025-11-03 07:45:13.239869,2025-11-03 09:08:02.637,2296,0.00198772,0.00198772,0.00206569,100.00,100.00,f,f,SL_HIT,-1.0000,-1.2742,0.00002197,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
35,MUSDT,15m,pinbar_sell,2.47630000,2.53405249,2.36079501,2.53405249,SL_HIT,SHORT,2025-10-31 11:15:13.775606,2025-10-31 14:13:01.959,,2.36079501,2.36079501,2.53405249,100.00,100.00,f,f,SL_HIT,-1.0000,-2.3322,0.03050832,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
42,JELLYJELLYUSDT,15m,pinbar_sell,0.14293000,0.14938749,0.13130652,0.14938749,SL_HIT,SHORT,2025-10-31 14:15:16.737621,2025-10-31 14:28:03.785,2103,0.13130652,0.13130652,0.14938749,100.00,100.00,f,f,SL_HIT,-1.0000,-4.5179,0.00575830,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80,1.80,1.80,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
32,WUSDT,1h,pinbar_sell,0.06379000,0.06601786,0.05933429,0.06601786,SL_HIT,SHORT,2025-10-31 11:00:17.23616,2025-10-31 15:11:01.493,2077,0.06156214,0.05710643,0.06601786,100.00,100.00,f,f,SL_HIT,-1.0000,-3.4925,0.00222786,0.00247571,999.0000,999.0000,10.0000,chop,,,,,,,,,999.00000000,999.00000000,403571.60,0,none,2.5000,50.00,,0.06425000,2.50,f,,f,f,f,999.00,1.00,2.00,3.00,0.80,"{""trend"": -0.1, ""multi_tf"": -0.1, ""volatility"": 0, ""pattern_score"": -0.1, ""zone_freshness"": -0.2}","Base 1.2 (-0.1 pattern, -0.2 fresh, -0.1 trend, -0.1 multiTF) = 0.80",with,t,normal,t,TP1 R:R 1.00 >= 0.80 ✅,6,"{""atKeyZone"": false, ""zoneFresh"": false, ""rAvailable"": true, ""volumeSpike"": false, ""trendAligned"": true, ""cleanRejection"": true, ""patternQuality"": true, ""multiTFconfluence"": true}",50.00,30.00,20.00,BALANCED
135,DYDXUSDT,15m,pinbar_sell,0.29100000,0.29628135,0.28043730,0.29628135,SL_HIT,SHORT,2025-11-03 07:45:14.138915,2025-11-03 14:08:06.64,2297,0.28043730,0.28043730,0.29628135,100.00,100.00,f,f,SL_HIT,-1.0000,-1.8149,0.00427117,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00,2.00,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
45,ICNTUSDT,15m,pinbar_buy,0.30410000,0.29309410,0.32391062,0.29309410,SL_HIT,LONG,2025-10-31 17:45:12.34008,2025-10-31 18:09:01.492,2110,0.32391062,0.32391062,0.29309410,100.00,100.00,f,f,SL_HIT,-1.0000,-3.6192,0.01501966,0.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80,1.80,1.80,,,,,,,,,,,0.00,100.00,0.00,SCALP_15M
