id,symbol,timeframe,direction,pattern_type,entry_price,sl_price,tp1_price,tp2_price,tp3_price,exit_type,status,pnl_r,pnl_percent,context_trend_before,context_was_reversal,context_swing_count_20,context_recent_direction,context_distance_from_ema,pattern_score,trend_alignment,clearance_15m,post_sl_outcome,post_sl_max_favorable_r,post_sl_time_to_tp_min,mfe_r,mae_r,signal_time,time_to_sl_min,atr_15m,free_path_r,clearance_1h,r_available,actual_rr_tp1,actual_rr_tp2,actual_rr_tp3,multi_tf_alignment,confluence_score
138,DOGEUSDT,15m,SHORT,pinbar_sell,0.17328000,0.17486915,0.17010170,0.17010170,0.17010170,SL_HIT,SL_HIT,-1.0000,-0.9171,downtrend,f,6,bearish,-1.1129,8.00,with,,sideways,1.3152,,3.4106,0.0000,2025-11-03 07:45:18.914613,82,0.00133050,,,,2.00,2.00,2.00,,
137,PENGUUSDT,15m,SHORT,pinbar_sell,0.01634500,0.01659085,0.01585330,0.01585330,0.01585330,SL_HIT,SL_HIT,-1.0000,-1.5041,downtrend,f,7,choppy,-0.9294,8.00,with,,sideways,0.7810,,3.6608,0.0000,2025-11-03 07:45:15.302743,82,0.00018284,,,,2.00,2.00,2.00,,
135,DYDXUSDT,15m,SHORT,pinbar_sell,0.29100000,0.29628135,0.28043730,0.28043730,0.28043730,SL_HIT,SL_HIT,-1.0000,-1.8149,downtrend,f,1,choppy,-0.9929,7.00,with,,reached_tp3,7.1951,67,6.0591,0.0000,2025-11-03 07:45:14.138915,382,0.00427117,,,,2.00,2.00,2.00,,
134,TURBOUSDT,15m,SHORT,pinbar_sell,0.00203970,0.00206569,0.00198772,0.00198772,0.00198772,SL_HIT,SL_HIT,-1.0000,-1.2742,downtrend,f,5,bearish,-0.8230,8.00,with,,sideways,1.4275,,5.6445,0.0000,2025-11-03 07:45:13.239869,82,0.00002197,,,,2.00,2.00,2.00,,
133,MANAUSDT,15m,SHORT,pinbar_sell,0.21650000,0.21885450,0.21179100,0.21179100,0.21179100,SL_HIT,SL_HIT,-1.0000,-1.0875,downtrend,f,7,bearish,-0.7426,9.00,with,,sideways,1.1043,,2.5483,0.0000,2025-11-03 07:45:13.157608,83,0.00184833,,,,2.00,2.00,2.00,,
132,SOPHUSDT,15m,SHORT,pinbar_sell,0.02428200,0.02454928,0.02374744,0.02374744,0.02374744,SL_HIT,SL_HIT,-1.0000,-1.1007,downtrend,f,8,bullish,-0.1927,6.00,with,0.00011700,sideways,1.7959,,6.7083,0.0000,2025-11-03 07:45:11.691973,73,0.00018759,,,,2.00,2.00,2.00,,
129,KDAUSDT,15m,LONG,pinbar_buy,0.04951000,0.04566656,0.05642819,0.05642819,0.05642819,SL_HIT,SL_HIT,-1.0000,-7.7630,uptrend,f,10,bearish,1.7199,5.00,with,0.00440000,sideways,0.0000,,0.0000,-3.9574,2025-11-03 03:30:12.918414,245,0.00194479,,,,1.80,1.80,1.80,,
126,SOLVUSDT,15m,LONG,pinbar_buy,0.02181000,0.02161777,0.02219446,0.02219446,0.02219446,SL_HIT,SL_HIT,-1.0000,-0.8814,uptrend,t,4,bearish,0.1311,6.00,with,0.00069000,reached_tp3,5.5662,7,2.9652,-0.0520,2025-11-03 00:45:14.532585,82,0.00027410,,,,2.00,2.00,2.00,,
125,RVVUSDT,15m,LONG,pinbar_buy,0.00850500,0.00839325,0.00872849,0.00872849,0.00872849,SL_HIT,SL_HIT,-1.0000,-1.3139,uptrend,f,7,bullish,0.6819,4.00,with,0.00049400,sideways,0.0000,,0.0000,-19.4899,2025-11-03 00:15:17.390232,25,0.00008582,,,,2.00,2.00,2.00,,
124,LINEAUSDT,15m,LONG,fakey_buy,0.01399000,0.01378077,0.01440846,0.01440846,0.01440846,SL_HIT,SL_HIT,-1.0000,-1.4956,uptrend,f,4,bullish,1.8394,3.00,with,0.00018000,sideways,1.5772,,0.0000,-9.8934,2025-11-03 00:15:13.924044,40,0.00013077,,,,2.00,2.00,2.00,,
