id,symbol,timeframe,direction,pattern_type,entry_price,sl_price,tp1_price,tp2_price,tp3_price,exit_type,status,pnl_r,pnl_percent,context_trend_before,context_was_reversal,context_swing_count_20,context_recent_direction,context_distance_from_ema,pattern_score,trend_alignment,clearance_15m,post_sl_outcome,post_sl_max_favorable_r,post_sl_time_to_tp_min,mfe_r,mae_r,signal_time,time_to_sl_min,time_to_tp1_min,time_to_tp2_min,time_to_tp3_min,time_to_be_min,atr_15m,free_path_r,clearance_1h,r_available,actual_rr_tp1,actual_rr_tp2,actual_rr_tp3,multi_tf_alignment,confluence_score,be_activated,trailing_activated,partial_closed,partial_close_p1,partial_close_p2,partial_close_p3,initial_sl,current_sl,position_size,spread_percent,depth_1pct_bid,depth_1pct_ask,order_book_imbalance,volume_24h_usdt,dist_to_dir_h1_zone_atr,dist_to_dir_h4_zone_atr,arrival_pattern,trade_outcome,speed_category,swing_category
106,EIGENUSDT,15m,SHORT,fakey_sell,1.09580000,1.10916855,,1.07086290,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 22:00:24.107015,,,,,,,,,,,,,,,f,f,0.00,,,,,1.09580000,100.00,,,,,,,,,Loss,,High (10+)
105,FUSDT,15m,SHORT,fakey_sell,0.01855400,0.01885777,,0.01798546,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 22:00:18.836854,,,,,,,,,,,,,,,f,f,0.00,,,,,0.01885777,100.00,,,,,,,,,Loss,,High (10+)
104,THETAUSDT,15m,SHORT,fakey_sell,0.54090000,0.54740925,,0.52908150,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 22:00:18.753849,,,,,,,,,,,,,,,f,f,0.00,,,,,0.54740925,100.00,,,,,,,,,Loss,,High (10+)
103,GIGGLEUSDT,15m,SHORT,pinbar_sell,171.87000000,174.66921000,,167.74158000,,,TP2_HIT,,,,,,,,,,,,,,,,2025-10-27 21:45:18.249089,,,,,,,,,,,,,,,f,f,0.00,,,,,174.66921000,100.00,,,,,,,,,Win,,High (10+)
101,CUSDT,15m,LONG,pinbar_buy,0.12305000,0.12181216,,0.12546568,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 20:45:27.4624,,,,,,,,,,,,,,,f,f,0.00,,,,,0.12181216,100.00,,,,,,,,,Loss,,High (10+)
100,VVVUSDT,15m,LONG,pinbar_buy,1.64600000,1.62429500,,1.69241000,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 20:45:22.303471,,,,,,,,,,,,,,,f,f,0.00,,,,,1.62429500,100.00,,,,,,,,,Loss,,High (10+)
99,BIOUSDT,15m,LONG,pinbar_buy,0.09137000,0.09062171,,0.09301658,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 20:45:14.145045,,,,,,,,,,,,,,,f,f,0.00,,,,,0.09137000,100.00,,,,,,,,,Loss,,High (10+)
98,BNBUSDT,15m,SHORT,fakey_sell,1143.19000000,1150.71345000,,1126.61310000,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 20:15:22.666598,,,,,,,,,,,,,,,f,f,0.00,,,,,1150.71345000,100.00,,,,,,,,,Loss,,High (10+)
96,KAITOUSDT,15m,LONG,pinbar_buy,1.15000000,1.13820230,,1.17419540,,,SL_HIT,,,downtrend,t,5,bearish,-1.0648,4.00,against,0.09870000,,,,,,2025-10-27 18:45:15.283876,,,,,,,,,,,,,,,f,f,0.00,,,,,1.13820230,100.00,,,,,,,,,Loss,,Low (<6)
95,SOMIUSDT,15m,SHORT,pinbar_sell,0.49680000,0.50395770,,0.48398460,,,TP2_HIT,,,,,,,,,,,,,,,,2025-10-27 17:30:22.99341,,,,,,,,,,,,,,,f,f,0.00,,,,,0.49680000,100.00,,,,,,,,,Win,,High (10+)
94,APRUSDT,15m,SHORT,pinbar_sell,0.34832000,0.35426561,,0.33597879,,,SL_HIT,,,downtrend,f,8,bullish,-0.0815,,with,0.01553000,,,,,,2025-10-27 17:30:19.587713,,,,,,,,,,,,,,,f,f,0.00,,,,,0.35426561,100.00,,,,,,,,,Loss,,Medium (6-9)
91,NFPUSDT,15m,SHORT,fakey_sell,0.04398000,0.04464572,,0.04258857,,,SL_HIT,,,downtrend,t,11,bullish,-0.3679,8.00,with,0.00129000,,,,,,2025-10-27 16:45:13.18418,,,,,,,,,,,,,,,f,f,0.00,,,,,0.04464572,100.00,,,,,,,,,Loss,,High (10+)
90,ILVUSDT,15m,SHORT,pinbar_sell,11.92600000,12.04200000,,11.73000000,,,SL_HIT,,,downtrend,f,8,bullish,0.2055,6.00,with,0.76400000,,,,,,2025-10-27 16:30:22.517249,,,,,,,,,,,,,,,f,f,0.00,,,,,12.04200000,100.00,,,,,,,,,Loss,,Medium (6-9)
89,TURTLEUSDT,15m,SHORT,pinbar_sell,0.18850000,0.19096605,,0.18386790,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 16:15:19.54157,,,,,,,,,,,,,,,f,f,0.00,,,,,0.18850000,100.00,,,,,,,,,Loss,,High (10+)
88,APRUSDT,15m,SHORT,pinbar_sell,0.34506000,0.35214822,,0.33382356,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-27 16:15:15.201374,,,,,,,,,,,,,,,f,f,0.00,,,,,0.35214822,100.00,,,,,,,,,Loss,,High (10+)
81,MERLUSDT,15m,LONG,pinbar_buy,0.40916000,0.40433984,,0.41868032,,,SL_HIT,,,downtrend,f,8,bearish,-0.9821,4.00,against,0.01326000,,,,,,2025-10-27 15:45:18.929873,,,,,,,,,,,,,,,f,f,0.00,,,,,0.40433984,100.00,,,,,,,,,Loss,,Medium (6-9)
76,TURTLEUSDT,15m,LONG,pinbar_buy,0.19760000,0.19322135,,0.20755730,,,SL_HIT,,,sideways,t,7,bearish,-4.7248,,neutral,,,,,,,2025-10-27 07:00:30.956354,,,,,,,,,,,,,,,f,f,0.00,,,,,0.19322135,100.00,,,,,,,,,Loss,,Medium (6-9)
75,HUSDT,15m,LONG,pinbar_buy,0.31432000,0.30745015,,0.32760971,,,TP2_HIT,,,downtrend,t,6,bearish,-1.9460,,against,0.06544000,,,,,,2025-10-27 06:48:51.983354,,,,,,,,,,,,,,,f,f,0.00,,,,,0.31432000,100.00,,,,,,,,,Win,,Medium (6-9)
74,2ZUSDT,15m,LONG,pinbar_buy,0.24508000,0.24162135,,0.25028729,,,SL_HIT,,,downtrend,f,10,bearish,-0.8907,4.00,against,0.00131000,,,,,,2025-10-27 06:48:47.984419,,,,,,,,,,,,,,,f,f,0.00,,,,,0.24162135,100.00,,,,,,,,,Loss,,High (10+)
73,VIRTUALUSDT,15m,LONG,pinbar_buy,1.49420000,1.47482000,,1.53836000,,,SL_HIT,,,uptrend,f,7,bearish,-2.4298,,with,,,,,,,2025-10-27 06:48:08.028901,,,,,,,,,,,,,,,f,f,0.00,,,,,1.47482000,100.00,,,,,,,,,Loss,,Medium (6-9)
72,WIFUSDT,15m,LONG,pinbar_buy,0.56930000,0.56481620,,0.57916760,,,SL_HIT,,,uptrend,f,8,choppy,-0.1311,,with,,,,,,,2025-10-27 06:46:19.489015,,,,,,,,,,,,,,,f,f,0.00,,,,,0.56481620,100.00,,,,,,,,,Loss,,Medium (6-9)
71,OGUSDT,15m,SHORT,pinbar_sell,13.83000000,14.00886000,,13.45428000,,,SL_HIT,,,sideways,f,10,choppy,0.0572,,neutral,0.72700000,,,,,,2025-10-27 06:33:17.637905,,,,,,,,,,,,,,,f,f,0.00,,,,,14.00886000,100.00,,,,,,,,,Loss,,High (10+)
70,DOODUSDT,15m,LONG,pinbar_buy,0.00788700,0.00782153,,0.00802994,,,SL_HIT,,,uptrend,f,8,bullish,0.5071,,with,0.00146000,,,,,,2025-10-27 00:03:34.639322,,,,,,,,,,,,,,,f,f,0.00,,,,,0.00788700,100.00,,,,,,,,,Loss,,Medium (6-9)
65,DIAUSDT,15m,LONG,pinbar_buy,0.53620000,0.51140380,,0.55459240,,,TP2_HIT,,,uptrend,f,7,bullish,5.1082,,with,,,,,,,2025-10-26 22:47:38.279761,,,,,,,,,,,,,,,f,f,0.00,,,,,0.53620000,100.00,,,,,,,,,Win,,Medium (6-9)
64,SOPHUSDT,15m,SHORT,pinbar_sell,0.02880000,0.02926407,,0.02811487,,,SL_HIT,,,uptrend,f,9,choppy,0.9502,,against,0.00057900,,,,,,2025-10-26 22:18:31.033226,,,,,,,,,,,,,,,f,f,0.00,,,,,0.02926407,100.00,,,,,,,,,Loss,,Medium (6-9)
63,BLESSUSDT,15m,SHORT,pinbar_sell,0.04257000,0.04408375,,0.03864249,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-26 22:17:48.600691,,,,,,,,,,,,,,,f,f,0.00,,,,,0.04257000,100.00,,,,,,,,,Loss,,High (10+)
61,BCHUSDT,15m,LONG,pinbar_buy,553.10000000,546.16172000,,562.83656000,,,TP2_HIT,,,uptrend,f,12,bearish,0.1604,,with,12.00000000,,,,,,2025-10-26 22:00:24.906715,,,,,,,,,,,,,,,f,f,0.00,,,,,553.10000000,100.00,,,,,,,,,Win,,High (10+)
60,ASTERUSDT,15m,LONG,pinbar_buy,1.13050000,1.11538245,,1.16193510,,,SL_HIT,,,downtrend,f,11,bullish,-0.8811,,against,0.01270000,,,,,,2025-10-26 21:45:52.960566,,,,,,,,,,,,,,,f,f,0.00,,,,,1.13050000,100.00,,,,,,,,,Loss,,High (10+)
59,OGUSDT,15m,SHORT,pinbar_sell,13.79800000,13.97775150,,13.40549700,,,SL_HIT,,,downtrend,t,10,bullish,-0.2060,,with,0.69500000,,,,,,2025-10-26 21:45:20.763476,,,,,,,,,,,,,,,f,f,0.00,,,,,13.97775150,100.00,,,,,,,,,Loss,,High (10+)
58,VVVUSDT,15m,LONG,pinbar_buy,1.71000000,1.67511650,,1.77676700,,,TP2_HIT,,,uptrend,t,8,bearish,-0.9545,,with,,,,,,,2025-10-26 21:45:16.692118,,,,,,,,,,,,,,,f,f,0.00,,,,,1.71000000,100.00,,,,,,,,,Win,,Medium (6-9)
57,BANANAUSDT,15m,LONG,pinbar_buy,13.78500000,13.70486450,,14.00227100,,,TP2_HIT,,,uptrend,f,6,bullish,-0.6170,,with,1.12600000,,,,,,2025-10-26 21:32:30.067814,,,,,,,,,,,,,,,f,f,0.00,,,,,13.78500000,100.00,,,,,,,,,Win,,Medium (6-9)
56,OPENUSDT,15m,LONG,pinbar_buy,0.38870000,0.38494795,,0.39650410,,,TP2_HIT,,,downtrend,t,9,bearish,-0.9895,,against,0.00160000,,,,,,2025-10-26 21:15:50.088338,,,,,,,,,,,,,,,f,f,0.00,,,,,0.38870000,100.00,,,,,,,,,Win,,Medium (6-9)
